Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;14:30:00;21-01-2025;14:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.024;kWh;Validated
21-01-2025;14:45:00;21-01-2025;15:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;14:45:00;21-01-2025;15:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.023;kWh;Validated
21-01-2025;15:00:00;21-01-2025;15:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;15:00:00;21-01-2025;15:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.03;kWh;Validated
21-01-2025;15:15:00;21-01-2025;15:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;15:15:00;21-01-2025;15:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.024;kWh;Validated
21-01-2025;15:30:00;21-01-2025;15:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;15:30:00;21-01-2025;15:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.022;kWh;Validated
21-01-2025;15:45:00;21-01-2025;16:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;15:45:00;21-01-2025;16:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.025;kWh;Validated
21-01-2025;16:00:00;21-01-2025;16:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;16:00:00;21-01-2025;16:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.029;kWh;Validated
21-01-2025;16:15:00;21-01-2025;16:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;16:15:00;21-01-2025;16:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.023;kWh;Validated
21-01-2025;16:30:00;21-01-2025;16:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;16:30:00;21-01-2025;16:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.022;kWh;Validated
21-01-2025;16:45:00;21-01-2025;17:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;16:45:00;21-01-2025;17:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.03;kWh;Validated
21-01-2025;17:00:00;21-01-2025;17:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;17:00:00;21-01-2025;17:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.023;kWh;Validated
21-01-2025;17:15:00;21-01-2025;17:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;17:15:00;21-01-2025;17:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.024;kWh;Validated
21-01-2025;17:30:00;21-01-2025;17:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;17:30:00;21-01-2025;17:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.176;kWh;Validated
21-01-2025;17:45:00;21-01-2025;18:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;17:45:00;21-01-2025;18:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.034;kWh;Validated
21-01-2025;18:00:00;21-01-2025;18:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;18:00:00;21-01-2025;18:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.041;kWh;Validated
21-01-2025;18:15:00;21-01-2025;18:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;18:15:00;21-01-2025;18:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.06;kWh;Validated
21-01-2025;18:30:00;21-01-2025;18:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;18:30:00;21-01-2025;18:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.163;kWh;Validated
21-01-2025;18:45:00;21-01-2025;19:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;18:45:00;21-01-2025;19:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.261;kWh;Validated
